Date,Open,High,Low,Close
11/2021,4610.62,4663.46,4595.06,4660.57
10/2021,4317.16,4608.08,4278.94,4605.38
09/2021,4528.8,4545.85,4305.91,4307.54
08/2021,4406.86,4537.36,4367.73,4522.68
07/2021,4300.73,4429.97,4233.13,4395.26
06/2021,4216.52,4302.43,4164.4,4297.5
05/2021,4191.98,4238.04,4056.88,4204.11
04/2021,3992.78,4218.78,3992.78,4181.17
03/2021,3842.51,3994.41,3723.34,3972.89
02/2021,3731.17,3950.43,3725.62,3811.15
01/2021,3764.61,3870.9,3662.71,3714.24
12/2020,3645.87,3760.2,3633.4,3756.07
11/2020,3336.25,3645.99,3336.25,3621.63
10/2020,3385.87,3549.85,3233.94,3269.96
09/2020,3507.44,3588.11,3209.45,3363
08/2020,3288.26,3514.77,3284.53,3500.31
07/2020,3105.92,3279.99,3101.17,3271.12
06/2020,3038.78,3233.13,2965.66,3100.29
05/2020,2869.09,3068.67,2766.64,3044.31
04/2020,2498.08,2954.86,2447.49,2912.43
03/2020,2974.28,3136.72,2191.86,2584.59
02/2020,3235.66,3393.52,2855.84,2954.22
01/2020,3244.67,3337.77,3214.64,3225.52
12/2019,3143.85,3247.93,3070.33,3230.78
11/2019,3050.72,3154.26,3050.72,3140.98
10/2019,2983.69,3050.1,2855.94,3037.56
09/2019,2909.01,3021.99,2891.85,2976.74
08/2019,2980.32,3013.59,2822.12,2926.46
07/2019,2971.41,3027.98,2952.22,2980.38
06/2019,2751.53,2964.15,2728.81,2941.76
05/2019,2952.33,2954.13,2750.52,2752.06
04/2019,2848.63,2949.52,2848.63,2945.83
03/2019,2798.22,2860.31,2722.27,2834.4
02/2019,2702.32,2813.49,2681.83,2784.49
01/2019,2476.96,2708.95,2443.96,2704.1
12/2018,2790.5,2800.18,2346.58,2506.85
11/2018,2717.58,2815.15,2631.09,2760.17
10/2018,2926.29,2939.86,2603.54,2711.74
09/2018,2896.96,2940.91,2864.12,2913.98
08/2018,2821.17,2916.5,2796.34,2901.52
07/2018,2704.95,2848.03,2698.95,2816.29
06/2018,2718.7,2791.47,2691.99,2718.37
05/2018,2643.64,2742.24,2594.62,2705.27
04/2018,2633.45,2717.49,2553.8,2648.05
03/2018,2790.54,2801.9,2585.89,2640.87
